,Column1,Column2,name
197,-596 ,652 ,S288
198,-595 ,607 ,S289
199,-597 ,566 ,S290
200,-598 ,468 ,S601
201,-596 ,408 ,S602
202,-598 ,338 ,S603
203,-595 ,278 ,S604A
204,-597 ,240 ,S604B
205,-597 ,180 ,S605
206,-597 ,113 ,S606
207,-597 ,50 ,S607
208,-596 ,9 ,S608
209,-559 ,256 ,D_S604B
210,-557 ,301 ,D_S604A
211,-564 ,345 ,D_S603
212,-558 ,212 ,D_S605
213,-557 ,120 ,D_S606
214,-557 ,47 ,D_S607
215,-564 ,475 ,D_S601
216,-560 ,570 ,D_S290
217,-561 ,615 ,D_S289
218,-562 ,659 ,D_S288
219,424 ,1812 ,S111
220,490 ,1811 ,S110
221,551 ,1807 ,S109
222,611 ,1803 ,S102
223,595 ,1888 ,S342
224,597 ,1933 ,S341
225,599 ,1983 ,S340
226,595 ,2029 ,S339
227,593 ,2067 ,S338
228,589 ,2135 ,S321
229,535 ,2135 ,S320
230,485 ,2142 ,S319
231,437 ,2138 ,S318
232,399 ,2144 ,S317
233,360 ,2135 ,S316
234,528 ,1946 ,S332
235,493 ,1944 ,S331
236,428 ,1949 ,S330
237,391 ,1945 ,S329
238,349 ,1948 ,S328
239,0 ,3017 ,R18L_B1
240,-324 ,3197 ,R18R_1
241,-558 ,4 ,D_S608
242,-320 ,5 ,C_H7
243,-322 ,312 ,R18R_2
244,0 ,520 ,R18L_B6
245,-865 ,2155 ,Y1_S228
246,-787 ,2149 ,Y1_S229
247,-718 ,2156 ,Y1_S230
248,-659 ,2152 ,Y1_S231
249,-559 ,3383 ,S401
250,0 ,-101 ,R18L_T6
251,0 ,0 ,R18L_H7
